Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FRDM,1749,200,42.69,1,25.94,28.25,1749,0
IBML,1747,100,29.73,100,20.98,25.37,1747,0
IBHH,1720,200,34.87,200,11.63,23.11,1720,0
DALT,1710,100,12.79,200,4.66,9.27,1710,0
TMAT,1706,100,19.95,100,9.70,14.38,1606,100
QVAL,1649,100,43.50,100,25.30,33.89,1649,0
WFHY,1621,200,57.86,200,34.72,45.72,1621,0
UFEB,1607,200,40.81,100,20.17,26.91,1607,0
IEHS,1585,100,49.29,100,31.13,41.45,1585,0
FMAY,1549,200,55.57,200,18.53,36.57,1549,0
BOCT,1542,200,48.94,200,16.32,32.30,1542,0
HEEM,1542,200,31.84,200,19.11,25.35,1442,100
NETZ,1522,200,78.24,200,26.09,51.38,1122,400
DSEP,1506,200,46.64,100,23.03,30.75,1506,0
XDJA,1478,200,32.66,200,10.89,21.30,1478,0
DDWM,1467,200,36.20,200,21.73,28.70,1467,0
IGEB,1458,200,56.61,200,33.97,45.05,1458,0
PNOV,1458,100,38.18,100,22.21,29.73,1458,0
JMUB,1452,100,62.49,200,37.86,50.44,1452,0
OSCV,1451,200,48.81,200,16.27,32.07,1451,0
TRTY,1451,100,32.78,100,20.04,25.74,735,716
VAMO,1451,100,35.39,1,26.04,26.45,1351,100
TMFM,1431,200,36.39,200,12.14,23.56,1431,0
PSMG,1389,200,26.01,200,8.67,17.09,1389,0
KAPR,1374,100,33.16,200,13.08,25.89,1374,0
TTAI,1354,200,43.25,100,21.28,28.48,1354,0
GSEW,1347,100,72.41,100,47.79,61.22,1289,58
MFUL,1347,200,32.13,200,10.72,21.42,1347,0
XJUN,1346,200,46.30,100,22.94,30.66,1346,0
UMAR,1341,200,44.22,200,14.75,29.15,841,500
VFVA,1331,100,125.29,120,88.00,101.32,1331,0
BUFT,1316,200,28.72,200,9.58,18.98,1316,0
GVAL,1293,100,22.24,100,12.25,18.13,1293,0
AESR,1280,100,16.71,100,8.12,12.03,980,300
OEUR,1252,100,30.73,100,18.20,23.00,1252,0
EDEN,1246,200,135.54,100,67.42,88.31,1246,0
BAPR,1231,100,41.06,100,23.89,32.01,231,1000
IMOM,1223,200,39.68,200,13.23,26.35,1223,0
VFMO,1210,100,146.37,100,92.27,118.40,1056,154
IGHG,1180,100,86.30,100,54.40,69.73,1180,0
FAPR,1154,100,38.86,100,22.61,30.29,1154,0
NAPR,1127,100,47.12,100,27.41,36.65,127,1000
XDEC,1125,200,44.53,200,14.85,29.38,1125,0
DWLD,1118,100,31.53,100,16.54,24.70,1118,0
IEME,1118,200,41.65,200,13.89,27.77,1118,0
BNOV,1104,200,46.56,200,15.53,30.72,1104,0
ESHY,1101,200,27.93,100,12.49,18.41,1101,0
IBHG,1101,200,33.12,100,15.12,21.99,1101,0
TSLH,1100,200,38.82,100,20.73,25.74,1100,0
SATO,1067,200,10.43,200,6.27,7.97,1067,0
GOVZ,1027,100,21.08,100,10.25,15.15,1027,0
GMOM,1007,100,35.42,100,23.91,29.45,1007,0
HYGW,1000,200,60.09,200,20.04,39.61,1000,0
EWGS,979,100,73.10,200,27.66,52.94,979,0
FLIA,959,200,28.91,200,17.35,23.02,959,0
FPFD,953,200,26.59,100,16.19,21.18,953,0
DOCT,937,100,40.04,100,23.30,31.07,837,100
TMDV,935,200,72.85,100,35.93,47.74,935,0
ICOW,931,100,34.84,100,20.27,27.06,831,100
PAWZ,925,10,52.92,100,41.46,52.47,925,0
GSUS,906,100,69.86,200,28.83,56.40,906,0
DJUL,897,100,40.64,100,23.64,31.64,897,0
UJUL,895,200,39.71,200,13.24,26.23,295,600
